id,price,quantity
338491504,87,5
338495437,87,5
338496756,87,5
342394684,20,5
342450787,69,5
342582484,25,5
344217708,25,5
342605953,124,0
342866889,13,5
342903513,33,5
342924012,33,5
342924011,33,5
343484480,44,5
343490137,44,5
343500469,44,5
343547687,21,5
343547688,21,5
343533542,21,5
343603607,50,5
343603606,50,5
343602361,50,5
345379903,44,5
345379905,20,5
345388112,20,5
345379908,19,5
345388113,19,5
345825034,19,5
345825035,19,5
345379909,15,5
345379912,20,5
345379917,55,5
345794420,55,5
345794421,55,5
345379923,15,5
345379919,21,5
345817599,21,5
345817764,21,5
345379924,25,5
345379942,13,5
345379937,15,5
345379943,15,5
345379931,99,5
345852228,99,5
345852227,99,5
345379934,116,5
345379939,99,5
345390726,99,5
345862369,99,5
345862370,99,5
345379946,44,5
345379949,36,5
345388114,36,5
345379962,30,5
345921271,30,5
345921272,30,5
345379959,59,5
345379963,87,5
345379965,59,5
345379968,15,5
345388115,15,5
345388116,18,5
345359687,30,5
345359685,83,5
345359686,87,5
342825912,30,5
345907578,30,5
345921270,30,5
347533024,124,5
347533074,99,5
347533010,99,5
347533141,99,5
347533264,40,5
347533526,40,5
347533521,40,5
347533525,69,5
347533522,69,5
347533529,69,5
347533537,83,5
347533545,83,5
347533558,83,5
347533593,44,5
347533668,44,5
347533650,44,5
347533599,28,5
347533638,28,5
347533688,28,5
348868279,44,5
348868287,62,5
348868288,62,5
348868314,62,5
348868315,99,5
348868324,99,5
348868339,99,5
348868342,69,5
348868348,69,5
348868353,69,5
348868357,99,5
348868372,87,5
348868404,99,5
348868416,149,5
348868418,249,5
348868420,116,5
348868431,279,5
348868432,87,5
348868476,87,5
348868479,87,5
348868495,116,5
348868502,116,5
348868512,116,5
348868524,99,5
348868530,133,5
